datetime,demand,total_incl_noncombustion
2020-03-28 10:00:00,-484.90666666666243,71347.5
2020-03-30 10:00:00,-1203.8699999999976,74796.75
2020-03-31 13:00:00,-139.26666666666097,76697.99999999999
2020-04-14 15:00:00,-889.8083333333298,69436.125
2020-04-15 09:00:00,-132.07666666666245,71556.75
2020-04-19 10:00:00,-814.6649999999954,66018.375
2020-04-21 10:00:00,-1068.7066666666628,72103.49999999999
2020-04-22 09:00:00,-1859.8833333333296,71592.75
2020-04-22 10:00:00,-1765.7149999999976,72464.625
2020-04-23 08:00:00,-2637.5949999999975,72361.125
2020-04-23 09:00:00,-5478.119999999996,74695.5
2020-04-23 10:00:00,-5897.638333333331,76161.375
2020-04-23 11:00:00,-2187.1283333333276,77594.62499999999
2020-04-23 12:00:00,-1602.7499999999964,78446.25
2020-04-23 13:00:00,-972.7183333333305,79725.375
2020-04-23 15:00:00,-240.47333333332853,81634.5
2020-04-24 09:00:00,-1170.9733333333293,73656.0
2020-04-24 10:00:00,-638.6616666666627,75331.12499999999
2020-04-26 09:00:00,-255.16166666666328,67483.125
2020-04-26 10:00:00,-1519.2999999999943,69399.00000000001
2020-04-27 10:00:00,-1035.371666666661,76570.87500000001
2020-04-28 09:00:00,-964.3699999999969,75741.75
2020-04-28 10:00:00,-1459.2849999999953,76912.87500000001
2020-05-03 08:00:00,-91.24333333332982,64433.25
2020-05-03 09:00:00,-3898.6133333333305,67005.0
2020-05-03 10:00:00,-5424.5899999999965,69855.75
2020-05-03 11:00:00,-827.8083333333307,71200.12499999999
2020-05-03 12:00:00,-417.49833333332936,71845.875
2020-05-03 15:00:00,-2717.7799999999966,76783.5
2020-05-03 16:00:00,-1406.0716666666642,79315.87499999999
2020-05-04 08:00:00,-1927.0183333333296,75009.37500000001
2020-05-04 09:00:00,-4821.313333333327,76297.5
2020-05-04 10:00:00,-5917.51166666666,77043.375
2020-05-04 11:00:00,-1282.7733333333272,78623.99999999999
2020-05-05 09:00:00,-733.2699999999943,75494.25
2020-05-05 10:00:00,-571.0333333333282,76986.0
2020-05-06 08:00:00,-40.521666666661645,75646.125
2020-05-06 09:00:00,-3233.556666666662,77388.75
2020-05-06 10:00:00,-4954.03333333333,80086.5
2020-05-06 11:00:00,-1769.5049999999965,82150.87500000001
2020-05-06 12:00:00,-775.0833333333276,83909.24999999999
2020-05-07 08:00:00,-340.27999999999497,75559.49999999999
2020-05-07 09:00:00,-2283.344999999995,78928.87499999999
2020-05-07 10:00:00,-2502.5766666666614,81137.25
2020-05-09 08:00:00,-2739.0166666666623,69491.25
2020-05-09 09:00:00,-4211.896666666663,72762.75
2020-05-09 10:00:00,-4404.90166666666,76087.125
2020-05-10 08:00:00,-715.8566666666628,68631.75
2020-05-10 09:00:00,-3832.5583333333284,71674.875
2020-05-10 10:00:00,-3551.904999999997,73537.87499999999
2020-05-11 08:00:00,-14.62499999999477,76755.375
2020-05-11 09:00:00,-1199.489999999997,79823.25000000001
2020-05-11 10:00:00,-1605.5783333333297,82339.87500000001
2020-05-12 09:00:00,-3408.593333333331,77301.0
2020-05-12 10:00:00,-3854.239999999996,79555.5
2020-05-12 15:00:00,-518.9783333333311,83617.875
2020-05-13 08:00:00,-1547.5799999999963,74605.5
2020-05-13 09:00:00,-2499.7366666666617,75732.75
2020-05-13 10:00:00,-3218.6883333333312,77207.625
2020-05-14 09:00:00,-1104.543333333329,78288.74999999999
2020-05-14 10:00:00,-1561.7116666666625,79108.875
2020-05-15 09:00:00,-2852.103333333328,75921.74999999999
2020-05-15 10:00:00,-4752.929999999998,78131.25
2020-05-15 11:00:00,-774.2333333333281,78372.0
2020-05-15 12:00:00,-859.2516666666615,79531.875
2020-05-15 13:00:00,-1509.4483333333283,80807.62499999999
2020-05-15 15:00:00,-1264.8333333333303,84298.5
2020-05-16 08:00:00,-2658.573333333331,68503.5
2020-05-16 09:00:00,-5098.438333333328,72700.875
2020-05-16 10:00:00,-4843.358333333329,75751.87500000001
2020-05-17 08:00:00,-105.3733333333281,67972.50000000001
2020-05-17 09:00:00,-2287.4833333333304,72083.24999999999
2020-05-17 10:00:00,-1918.3283333333288,74575.125
2020-05-19 10:00:00,-2708.814999999996,79493.62499999999
2020-05-20 08:00:00,-1660.6316666666626,72673.875
2020-05-20 09:00:00,-2297.9399999999946,73867.5
2020-05-20 10:00:00,-3201.044999999996,75117.375
2020-05-20 12:00:00,-0.38166666666347737,76802.62499999999
2020-05-20 15:00:00,-1593.4416666666625,80906.62499999999
2020-05-20 16:00:00,-1220.5483333333295,81559.125
2020-05-21 07:00:00,-858.1616666666647,70556.62499999999
2020-05-21 08:00:00,-4556.84833333333,72748.125
2020-05-21 09:00:00,-3693.146666666662,73530.0
2020-05-21 10:00:00,-3978.8149999999955,75704.62499999999
2020-05-21 11:00:00,-158.0866666666634,78133.5
2020-05-21 13:00:00,-515.5316666666631,81579.375
2020-05-21 15:00:00,-1087.8299999999954,84399.75
2020-05-22 09:00:00,-1485.968333333329,76559.625
2020-05-22 10:00:00,-3102.881666666664,78238.12499999999
2020-05-22 15:00:00,-3674.7516666666625,83887.875
2020-05-23 08:00:00,-480.28499999999485,67471.875
2020-05-23 09:00:00,-1944.816666666662,69284.25
2020-05-23 10:00:00,-1963.0966666666639,69738.75
2020-05-23 13:00:00,-49.11333333333005,73809.0
2020-05-23 14:00:00,-304.3383333333286,73960.87499999999
2020-05-23 15:00:00,-3243.988333333329,76168.125
2020-05-23 16:00:00,-1192.0283333333275,79133.625
2020-05-24 08:00:00,-2517.0933333333296,64548.00000000001
2020-05-24 09:00:00,-3900.443333333328,67434.75
2020-05-24 10:00:00,-3646.404999999995,69159.37499999999
2020-05-24 11:00:00,-1263.3399999999965,70465.49999999999
2020-05-24 12:00:00,-2315.943333333329,72114.75
2020-05-24 13:00:00,-2791.231666666662,74451.375
2020-05-24 14:00:00,-118.36666666666133,75915.0
2020-05-24 15:00:00,-2531.3716666666623,77407.875
2020-05-25 08:00:00,-2078.714999999996,67235.625
2020-05-25 09:00:00,-4205.698333333327,70509.375
2020-05-25 10:00:00,-6297.448333333327,73688.625
2020-05-25 11:00:00,-1663.644999999995,77020.875
2020-05-26 09:00:00,-700.114999999996,80236.125
2020-05-26 10:00:00,-258.7466666666621,82894.5
2020-06-08 08:00:00,-309.2666666666637,78462.0
2020-06-08 09:00:00,-1368.0299999999952,81708.75
2020-06-08 10:00:00,-2217.5283333333296,82225.125
2020-06-14 10:00:00,-492.9799999999967,78673.5
2020-06-17 09:00:00,-607.0266666666621,87588.0
2020-06-17 10:00:00,-381.7399999999956,90562.5
2020-10-01 07:00:00,-2928.776666666664,34836.75
2020-10-01 08:00:00,-11796.789999999997,40596.75
2020-10-01 09:00:00,-17689.808333333327,43538.625
2020-10-01 10:00:00,-19528.76166666666,44983.125
2020-10-01 11:00:00,-15745.03666666666,46059.75
2020-10-01 12:00:00,-15749.641666666663,47039.62500000001
2020-10-01 13:00:00,-15203.363333333327,47931.75000000001
2020-10-01 14:00:00,-14435.336666666659,48782.25
2020-10-01 15:00:00,-16741.554999999997,48781.125
2020-10-01 16:00:00,-11293.966666666662,46656.0
2020-10-01 17:00:00,-1291.453333333331,41845.5
2020-11-02 08:00:00,-7950.431666666664,38545.875
2020-11-02 09:00:00,-12769.004999999996,41745.375
2020-11-02 10:00:00,-15433.404999999995,41799.375
2020-11-02 11:00:00,-11679.181666666664,41428.125
2020-11-02 12:00:00,-12300.289999999997,41843.25
2020-11-02 13:00:00,-11192.603333333329,40749.75
2020-11-02 14:00:00,-10580.993333333332,40333.5
2020-11-02 15:00:00,-12455.679999999998,39114.0
2020-11-02 16:00:00,-3565.278333333332,34311.375
2020-12-03 08:00:00,-6635.178333333331,45394.87500000001
2020-12-03 09:00:00,-14566.486666666664,50913.0
2020-12-03 10:00:00,-17468.499999999996,50211.0
2020-12-03 11:00:00,-12643.73666666666,48530.25
2020-12-03 12:00:00,-12288.168333333331,47719.125
2020-12-03 13:00:00,-13068.593333333327,47853.0
2020-12-03 14:00:00,-13183.874999999996,47498.625000000015
2020-12-03 15:00:00,-14236.028333333332,45275.625
2020-12-03 16:00:00,-3726.1083333333313,39133.125
2020-12-03 18:00:00,-442.91999999999916,40004.99999999999
2020-12-03 19:00:00,-497.81499999999915,41675.625
2020-12-03 20:00:00,-728.6383333333324,41151.375
2020-12-03 21:00:00,-799.7649999999994,39882.37499999999
2020-12-04 08:00:00,-6000.163333333332,44840.25
2020-12-04 09:00:00,-13938.409999999996,50037.75
2020-12-04 10:00:00,-16910.84666666666,49140.0
2020-12-04 11:00:00,-13521.706666666661,48699.0
2020-12-04 12:00:00,-13162.26666666666,47520.0
2020-12-04 13:00:00,-13378.41666666666,46959.750000000015
2020-12-04 14:00:00,-12794.434999999998,45505.125
2020-12-04 15:00:00,-14276.348333333332,43363.125
2020-12-04 16:00:00,-4370.701666666666,36991.125
2020-12-04 17:00:00,-693.5249999999982,37578.375
2020-12-04 18:00:00,-975.3566666666657,37856.25
2020-12-04 19:00:00,-868.8066666666659,39546.0
2020-12-04 20:00:00,-1098.3383333333322,39342.375
2020-12-04 21:00:00,-1337.5433333333326,38706.74999999999
2020-12-05 08:00:00,-6462.211666666665,41362.875
2020-12-05 09:00:00,-11974.389999999998,45308.25
2020-12-05 10:00:00,-17069.149999999998,47180.25
2020-12-05 11:00:00,-13556.194999999996,47066.625
2020-12-05 12:00:00,-13361.081666666661,45824.625
2020-12-05 13:00:00,-13455.076666666664,44916.75
2020-12-05 14:00:00,-12690.403333333332,43098.75
2020-12-05 15:00:00,-13664.291666666666,41245.87500000001
2020-12-05 16:00:00,-3962.1566666666645,34940.25
2020-12-05 19:00:00,-311.41499999999905,36608.625
2020-12-05 20:00:00,-233.01166666666631,35850.375
2020-12-05 21:00:00,-342.6166666666659,34661.24999999999
2020-12-06 00:00:00,-494.7399999999993,30397.500000000004
2020-12-06 08:00:00,-5698.153333333331,38371.5
2020-12-06 09:00:00,-13931.264999999996,43428.375
2020-12-06 10:00:00,-17181.621666666666,44371.125
2020-12-06 11:00:00,-13243.208333333328,44042.625
2020-12-06 12:00:00,-12706.604999999992,43954.875000000015
2020-12-06 13:00:00,-10757.454999999994,42935.625
2020-12-06 14:00:00,-8033.791666666665,40746.375
2020-12-06 15:00:00,-9678.684999999998,38761.875
2020-12-06 16:00:00,-2308.409999999998,34134.75
2020-12-06 18:00:00,-173.349999999999,34971.75
2020-12-06 19:00:00,-33.59333333333325,37390.5
2020-12-06 20:00:00,-268.4183333333326,37645.875
2020-12-06 21:00:00,-379.04333333333216,37541.24999999999
2020-12-07 08:00:00,-1082.3766666666647,43638.75
2020-12-07 09:00:00,-6511.339999999997,47349.0
2020-12-07 10:00:00,-11769.171666666665,49822.875
2020-12-07 11:00:00,-8958.348333333332,49415.625
2020-12-07 12:00:00,-9188.084999999995,48945.375
2020-12-07 13:00:00,-8681.319999999996,47785.5
2020-12-07 14:00:00,-8372.621666666662,46436.625
2020-12-07 15:00:00,-8681.309999999998,43215.75
2020-12-07 16:00:00,-2318.7749999999983,38836.12499999999
2020-12-07 18:00:00,-458.1816666666655,40636.125
2020-12-07 19:00:00,-492.8333333333326,41552.99999999999
2020-12-07 20:00:00,-634.6349999999993,41783.62499999999
2020-12-07 21:00:00,-898.3383333333331,40908.375
2020-12-08 08:00:00,-3049.3516666666656,41430.375
2020-12-08 09:00:00,-8574.686666666665,45738.0
2020-12-08 10:00:00,-12410.011666666664,46218.375
2020-12-08 11:00:00,-8469.769999999997,44835.75
2020-12-08 12:00:00,-8352.649999999998,43827.75
2020-12-08 13:00:00,-6575.55833333333,42132.37500000001
2020-12-08 14:00:00,-7404.0049999999965,42267.37500000001
2020-12-08 15:00:00,-8415.221666666665,40469.625
2020-12-08 16:00:00,-1996.7249999999988,37074.375
2020-12-08 18:00:00,-912.3966666666661,39489.74999999999
2020-12-08 19:00:00,-1001.5533333333324,40891.5
2020-12-08 20:00:00,-948.8349999999991,40442.625
2020-12-08 21:00:00,-1417.1533333333332,38457.0
2020-12-09 08:00:00,-3395.453333333332,40459.5
2020-12-09 09:00:00,-11927.664999999997,45678.375
2020-12-09 10:00:00,-15275.836666666664,47526.75
2020-12-09 11:00:00,-11962.759999999995,46921.5
2020-12-09 12:00:00,-11475.501666666663,46153.12500000001
2020-12-09 13:00:00,-11291.883333333331,46221.75000000001
2020-12-09 14:00:00,-11042.14333333333,46374.75
2020-12-09 15:00:00,-10457.313333333332,43609.5
2020-12-09 16:00:00,-3245.4116666666655,39868.875
2020-12-09 20:00:00,-1446.9716666666664,41821.875
2020-12-09 21:00:00,-1577.7749999999996,40600.12499999999
2020-12-10 00:00:00,-1792.2849999999994,32700.374999999996
2020-12-10 03:00:00,-1732.6566666666668,29238.75
2020-12-10 08:00:00,-4291.401666666665,41896.125
2020-12-10 09:00:00,-8054.7183333333305,44836.875
2020-12-10 10:00:00,-10659.879999999997,45382.5
2020-12-10 11:00:00,-10408.194999999996,47237.625
2020-12-10 12:00:00,-10281.473333333332,46273.5
2020-12-10 13:00:00,-12187.589999999997,46919.25
2020-12-10 14:00:00,-11433.491666666661,46573.87500000001
2020-12-10 15:00:00,-12560.723333333332,45587.25
2020-12-10 16:00:00,-3367.584999999998,40332.375
2020-12-10 17:00:00,-1068.2099999999987,42671.25
2020-12-10 20:00:00,-1532.763333333332,43017.75000000001
2020-12-10 22:00:00,-1548.199999999999,39231.0
2020-12-11 06:00:00,-1331.726666666666,33732.0
2020-12-11 07:00:00,-1557.809999999999,37505.25
2020-12-11 08:00:00,-3115.1999999999985,42799.5
2020-12-11 09:00:00,-7327.616666666663,46163.25
2020-12-11 10:00:00,-11459.474999999999,47894.62499999999
2020-12-11 11:00:00,-7089.649999999997,46869.75000000001
2020-12-11 12:00:00,-7556.298333333331,45984.375
2020-12-11 13:00:00,-7807.311666666664,46159.875
2020-12-11 14:00:00,-7027.829999999997,45560.25
2020-12-11 15:00:00,-8580.92333333333,43994.24999999999
2020-12-11 16:00:00,-1795.0166666666655,39971.25
2020-12-11 19:00:00,-465.32499999999936,42582.375
2020-12-11 20:00:00,-506.88833333333287,41689.12499999999
2020-12-11 21:00:00,-649.2133333333327,40873.49999999999
2020-12-11 22:00:00,-759.3733333333325,38245.5
2020-12-12 07:00:00,-547.7283333333321,36626.625
2020-12-12 08:00:00,-721.7399999999989,38047.5
2020-12-12 09:00:00,-5131.391666666665,42739.875
2020-12-12 10:00:00,-8166.118333333332,43914.375
2020-12-12 11:00:00,-6116.539999999996,44302.50000000001
2020-12-12 12:00:00,-7040.339999999997,44005.50000000001
2020-12-12 13:00:00,-7832.46333333333,44462.25
2020-12-12 14:00:00,-7145.634999999996,43754.62500000001
2020-12-12 15:00:00,-8468.544999999998,41556.375
2020-12-12 16:00:00,-2681.7649999999985,37528.875
2020-12-12 19:00:00,-492.78999999999905,39791.24999999999
2020-12-12 20:00:00,-511.579999999999,38996.99999999999
2020-12-12 21:00:00,-677.2566666666658,37959.74999999999
2020-12-12 22:00:00,-630.8083333333325,37058.62499999999
2020-12-13 08:00:00,-4258.548333333331,40676.625
